Countries and areas,ISO Code,Region,Sub-region,Development regions,Indicator,Category,Total,,,Children without functional difficulties,,,Children with functional difficulties,,,Data source,Time period
,,,,,,,Point estimate,Upper limit,Lower limit,Point estimate,Upper limit,Lower limit,Point estimate,Upper limit,Lower limit,,
Bangladesh,BGD,SA,SA,Least Developed,ANAR Upper secondary,Total,50.3,51.2,49.4,50.9,51.9,50.0,41.5,45.2,37.8,MICS6,2019
Bangladesh,BGD,SA,SA,Least Developed,ANAR Upper secondary,Male,46.3,47.5,45.0,47.0,48.3,45.7,37.0,41.7,32.4,MICS6,2019
Bangladesh,BGD,SA,SA,Least Developed,ANAR Upper secondary,Female,54.8,56.2,53.5,55.2,56.6,53.9,48.1,54.1,42.1,MICS6,2019
Bangladesh,BGD,SA,SA,Least Developed,ANAR Upper secondary,Urban,55.6,57.7,53.5,56.1,58.3,54.0,46.5,55.5,37.5,MICS6,2019
Bangladesh,BGD,SA,SA,Least Developed,ANAR Upper secondary,Rural,48.9,49.9,47.9,49.5,50.5,48.4,40.4,44.4,36.3,MICS6,2019
Belarus,BLR,ECA,EECA,More Developed,ANAR Upper secondary,Total,86.9,90.9,82.8,87.9,91.9,84.0,,,,MICS6,2019
Belarus,BLR,ECA,EECA,More Developed,ANAR Upper secondary,Male,91.7,96.7,86.7,91.9,96.9,86.9,,,,MICS6,2019
Belarus,BLR,ECA,EECA,More Developed,ANAR Upper secondary,Female,83.2,89.2,77.2,84.9,90.7,79.0,,,,MICS6,2019
Belarus,BLR,ECA,EECA,More Developed,ANAR Upper secondary,Urban,84.3,89.5,79.1,85.7,90.8,80.7,,,,MICS6,2019
Belarus,BLR,ECA,EECA,More Developed,ANAR Upper secondary,Rural,93.2,98.8,87.6,93.2,98.8,87.5,,,,MICS6,2019
Central African Republic,CAF,SSA,WCA,Least Developed,ANAR Upper secondary,Total,3.3,5.2,1.5,4.4,6.8,2.0,0.0,0.0,0.0,MICS6,2018-2019
Central African Republic,CAF,SSA,WCA,Least Developed,ANAR Upper secondary,Male,2.9,5.4,0.5,3.8,7.0,0.6,,,,MICS6,2018-2019
Central African Republic,CAF,SSA,WCA,Least Developed,ANAR Upper secondary,Female,3.8,6.5,1.1,5.2,8.9,1.5,0.0,0.0,0.0,MICS6,2018-2019
Central African Republic,CAF,SSA,WCA,Least Developed,ANAR Upper secondary,Urban,6.7,10.2,3.2,8.5,13.0,4.1,,,,MICS6,2018-2019
Central African Republic,CAF,SSA,WCA,Least Developed,ANAR Upper secondary,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MICS6,2018-2019
Chad,TCD,SSA,WCA,Least Developed,ANAR Upper secondary,Total,3.8,5.0,2.6,4.4,5.9,2.8,2.1,3.8,0.5,MICS6,2019
Chad,TCD,SSA,WCA,Least Developed,ANAR Upper secondary,Male,5.2,7.3,3.2,5.8,8.4,3.2,3.4,6.6,0.3,MICS6,2019
Chad,TCD,SSA,WCA,Least Developed,ANAR Upper secondary,Female,2.1,3.3,0.9,2.6,4.2,1.0,0.8,2.2,-0.6,MICS6,2019
Chad,TCD,SSA,WCA,Least Developed,ANAR Upper secondary,Urban,14.4,19.0,9.8,16.1,21.8,10.4,9.1,16.2,2.1,MICS6,2019
Chad,TCD,SSA,WCA,Least Developed,ANAR Upper secondary,Rural,0.7,1.3,0.1,0.8,1.6,0.1,0.3,1.0,-0.4,MICS6,2019
Democratic Republic of the Congo,COD,SSA,WCA,Least Developed,ANAR Upper secondary,Total,33.8,35.6,32.0,35.2,37.2,33.2,26.5,30.6,22.5,MICS6,2017-2018
