<<<<<<< HEAD
﻿Countries and areas,ISO Code,Region,Sub-region,Development regions,Indicator_7,Category_7,Total_7,total_upper_limit_7,total_lower_limit_7,Children without functional difficulties_7,cwf_upper_limit_7,cwf_lower_limit_7,Children with functional difficulties_7,cwd_upper_limit_7,cwd_lower_limit_7,Data source,Time period
Bangladesh,BGD,SA,SA,Least Developed,Completion rate primary,Total,85.1,85.8,84.3,86.2,86.9,85.5,70.7,74.2,67.2,MICS6,2019
Bangladesh,BGD,SA,SA,Least Developed,Completion rate primary,Male,79.2,80.3,78,80.5,81.7,79.4,64.5,69.3,59.7,MICS6,2019
Bangladesh,BGD,SA,SA,Least Developed,Completion rate primary,Female,91.3,92.1,90.5,92.2,93,91.4,79,83.9,74.1,MICS6,2019
Bangladesh,BGD,SA,SA,Least Developed,Completion rate primary,Urban,84.6,86.3,82.9,86.1,87.8,84.5,63.1,72.4,53.9,MICS6,2019
Bangladesh,BGD,SA,SA,Least Developed,Completion rate primary,Rural,85.2,86,84.4,86.2,87,85.4,72.4,76.2,68.6,MICS6,2019
Belarus,BLR,ECA,EECA,More Developed,Completion rate primary,Total,100,100,100,100,100,100,,,,MICS6,2019
Belarus,BLR,ECA,EECA,More Developed,Completion rate primary,Male,100,100,100,100,100,100,,,,MICS6,2019
Belarus,BLR,ECA,EECA,More Developed,Completion rate primary,Female,100,100,100,100,100,100,,,,MICS6,2019
Belarus,BLR,ECA,EECA,More Developed,Completion rate primary,Urban,100,100,100,100,100,100,,,,MICS6,2019
Belarus,BLR,ECA,EECA,More Developed,Completion rate primary,Rural,100,100,100,100,100,100,,,,MICS6,2019
Central African Republic,CAF,SSA,WCA,Least Developed,Completion rate primary,Total,27.1,30,24.2,30.6,34.1,27.1,18.8,23.7,14,MICS6,2018-2019
Central African Republic,CAF,SSA,WCA,Least Developed,Completion rate primary,Male,27.2,31.3,23.2,31.3,36.2,26.4,17.3,24.3,10.2,MICS6,2018-2019
Central African Republic,CAF,SSA,WCA,Least Developed,Completion rate primary,Female,26.9,31,22.9,29.9,34.9,24.9,20.4,27,13.7,MICS6,2018-2019
Central African Republic,CAF,SSA,WCA,Least Developed,Completion rate primary,Urban,50.7,55.4,46,52.5,58,47.1,45.7,55.1,36.3,MICS6,2018-2019
Central African Republic,CAF,SSA,WCA,Least Developed,Completion rate primary,Rural,10.4,13.1,7.7,13.6,17.2,10,3.8,7,0.7,MICS6,2018-2019
Chad,TCD,SSA,WCA,Least Developed,Completion rate primary,Total,27,28.8,25.3,27.8,30,25.7,24.7,28,21.5,MICS6,2019
Chad,TCD,SSA,WCA,Least Developed,Completion rate primary,Male,29.5,32.2,26.9,30.1,33.2,26.9,27.8,32.7,22.9,MICS6,2019
Chad,TCD,SSA,WCA,Least Developed,Completion rate primary,Female,24.3,26.6,21.9,25.2,28.1,22.4,21.7,26,17.3,MICS6,2019
Chad,TCD,SSA,WCA,Least Developed,Completion rate primary,Urban,57.1,61.3,52.8,57.6,62.7,52.5,55.9,63.7,48.1,MICS6,2019
Chad,TCD,SSA,WCA,Least Developed,Completion rate primary,Rural,19,20.7,17.2,20.3,22.5,18.2,14.8,17.9,11.7,MICS6,2019
Democratic Republic of the Congo,COD,SSA,WCA,Least Developed,Completion rate primary,Total,65,67,63,66.3,68.5,64.1,58.5,63.4,53.6,MICS6,2017-2018
Democratic Republic of the Congo,COD,SSA,WCA,Least Developed,Completion rate primary,Male,65.5,68.4,62.7,68.3,71.4,65.2,51.3,58.3,44.4,MICS6,2017-2018
Democratic Republic of the Congo,COD,SSA,WCA,Least Developed,Completion rate primary,Female,64.4,67.3,61.6,64.5,67.6,61.4,64.3,71.1,57.5,MICS6,2017-2018
Democratic Republic of the Congo,COD,SSA,WCA,Least Developed,Completion rate primary,Urban,80.8,83.6,78,80.9,83.9,77.9,80.4,87.6,73.2,MICS6,2017-2018
Democratic Republic of the Congo,COD,SSA,WCA,Least Developed,Completion rate primary,Rural,51.4,54,48.8,53.6,56.5,50.7,41.2,47.1,35.4,MICS6,2017-2018
Gambia,GMB,SSA,WCA,Least Developed,Completion rate primary,Total,65.5,68.9,62.1,67.8,71.3,64.3,,,,MICS6,2018
Gambia,GMB,SSA,WCA,Least Developed,Completion rate primary,Male,60.7,66,55.4,64.7,70.1,59.3,,,,MICS6,2018
Gambia,GMB,SSA,WCA,Least Developed,Completion rate primary,Female,69.2,73.6,64.7,70,74.6,65.5,,,,MICS6,2018
Gambia,GMB,SSA,WCA,Least Developed,Completion rate primary,Urban,75.1,79.2,70.9,77.7,81.8,73.6,,,,MICS6,2018
Gambia,GMB,SSA,WCA,Least Developed,Completion rate primary,Rural,45,50.4,39.5,46.2,51.8,40.5,,,,MICS6,2018
Ghana,GHA,SSA,WCA,Less Developed,Completion rate primary,Total,72.1,74.2,70,72.7,75,70.3,70,75,65,MICS6,2017-2018
Ghana,GHA,SSA,WCA,Less Developed,Completion rate primary,Male,70.1,73.2,67.1,71.4,74.7,68.1,63.5,71.1,56,MICS6,2017-2018
Ghana,GHA,SSA,WCA,Less Developed,Completion rate primary,Female,74.1,77,71.2,74.1,77.4,70.8,74.2,80.8,67.5,MICS6,2017-2018
Ghana,GHA,SSA,WCA,Less Developed,Completion rate primary,Urban,79.6,82.4,76.8,80.7,83.7,77.8,73.9,81,66.8,MICS6,2017-2018
Ghana,GHA,SSA,WCA,Less Developed,Completion rate primary,Rural,66.3,69.4,63.3,66,69.4,62.6,67.6,74.5,60.7,MICS6,2017-2018
Guinea-Bissau,GNB,SSA,WCA,Least Developed,Completion rate primary,Total,25.2,27.8,22.7,25.9,28.7,23.2,21,27.8,14.1,MICS6,2018-2019
Guinea-Bissau,GNB,SSA,WCA,Least Developed,Completion rate primary,Male,24.2,27.7,20.7,24.8,28.5,21.1,19.9,29.9,10,MICS6,2018-2019
Guinea-Bissau,GNB,SSA,WCA,Least Developed,Completion rate primary,Female,26.3,30.1,22.6,27.2,31.2,23.1,21.9,31.4,12.3,MICS6,2018-2019
Guinea-Bissau,GNB,SSA,WCA,Least Developed,Completion rate primary,Urban,46.9,51.9,41.9,48.7,54,43.4,,,,MICS6,2018-2019
Guinea-Bissau,GNB,SSA,WCA,Least Developed,Completion rate primary,Rural,12.1,14.5,9.7,11.9,14.5,9.4,13,19.9,6.1,MICS6,2018-2019
Guyana,GUY,LAC,LAC,Less Developed,Completion rate primary,Total,98.1,99.1,97.1,98.3,99.3,97.2,97.3,100.4,94.2,MICS6,2019-2020
Guyana,GUY,LAC,LAC,Less Developed,Completion rate primary,Male,96.8,98.7,95,97.3,99.2,95.5,93.6,100.2,87.1,MICS6,2019-2020
Guyana,GUY,LAC,LAC,Less Developed,Completion rate primary,Female,99.4,100.2,98.6,99.3,100.3,98.3,100,100,100,MICS6,2019-2020
Guyana,GUY,LAC,LAC,Less Developed,Completion rate primary,Urban,99.1,100.5,97.7,99.2,100.6,97.8,,,,MICS6,2019-2020
Guyana,GUY,LAC,LAC,Less Developed,Completion rate primary,Rural,97.9,99.2,96.6,98,99.4,96.7,97.2,100.9,93.4,MICS6,2019-2020
Iraq,IRQ,MENA,MENA,Less Developed,Completion rate primary,Total,75.2,76.7,73.7,78.6,80.2,77,61.7,65.3,58,MICS6,2018
Iraq,IRQ,MENA,MENA,Less Developed,Completion rate primary,Male,78.9,80.8,76.9,83.3,85.3,81.3,64.4,69.1,59.6,MICS6,2018
Iraq,IRQ,MENA,MENA,Less Developed,Completion rate primary,Female,71.5,73.8,69.2,74.3,76.7,71.8,57.8,63.6,51.9,MICS6,2018
Iraq,IRQ,MENA,MENA,Less Developed,Completion rate primary,Urban,79.9,81.6,78.2,83.4,85.1,81.6,66.6,71,62.3,MICS6,2018
Iraq,IRQ,MENA,MENA,Less Developed,Completion rate primary,Rural,65.9,68.8,63.1,69.4,72.5,66.3,50.5,57.2,43.8,MICS6,2018
Kiribati,KIR,EAP,EAP,Least Developed,Completion rate primary,Total,95.3,97.6,93,97,99,95,87.2,95.8,78.6,MICS6,2018-2019
Kiribati,KIR,EAP,EAP,Least Developed,Completion rate primary,Male,93.2,97.1,89.4,95.4,98.9,91.9,,,,MICS6,2018-2019
Kiribati,KIR,EAP,EAP,Least Developed,Completion rate primary,Female,97.4,99.8,95,98.6,100.6,96.7,,,,MICS6,2018-2019
Kiribati,KIR,EAP,EAP,Least Developed,Completion rate primary,Urban,96.1,99.5,92.7,96.7,100.1,93.4,,,,MICS6,2018-2019
Kiribati,KIR,EAP,EAP,Least Developed,Completion rate primary,Rural,94.5,97.5,91.4,97.2,99.7,94.8,,,,MICS6,2018-2019
Kosovo,,ECA,EECA,,Completion rate primary,Total,99,99.8,98.1,99.2,100,98.4,97.1,101.8,92.4,MICS6,2019-20
Kosovo,,ECA,EECA,,Completion rate primary,Male,98.6,99.9,97.4,98.8,100,97.5,,,,MICS6,2019-20
Kosovo,,ECA,EECA,,Completion rate primary,Female,99.4,100.4,98.4,99.7,100.4,98.9,,,,MICS6,2019-20
Kosovo,,ECA,EECA,,Completion rate primary,Urban,98.9,100.2,97.5,99.6,100.5,98.7,,,,MICS6,2019-20
Kosovo,,ECA,EECA,,Completion rate primary,Rural,99,100.1,98,98.9,100.1,97.8,,,,MICS6,2019-20
Kyrgyzstan,KGZ,ECA,EECA,Less Developed,Completion rate primary,Total,99.3,99.9,98.7,100,100,100,,,,MICS6,2018
Kyrgyzstan,KGZ,ECA,EECA,Less Developed,Completion rate primary,Male,98.6,99.7,97.4,100,100,100,,,,MICS6,2018
Kyrgyzstan,KGZ,ECA,EECA,Less Developed,Completion rate primary,Female,100,100,100,100,100,100,,,,MICS6,2018
