<<<<<<< HEAD
﻿Countries and areas,ISO Code,Region,Sub-region,Development regions,Indicator,Category_4,Total_4,total_upper_limit_4,total_lower_limit_4,Children without functional difficulties_4,cwf_upper_limit_4,cwf_lower_limit_4,Children with functional difficulties_4,wfd_upper_limit_4,wfd_lower_limit_4,Data source,Time period
Bangladesh,BGD,SA,SA,Least Developed,OOS Primary,Total,13.4,13.9,12.9,12.5,13,11.9,23,25.3,20.7,MICS6,2019
Bangladesh,BGD,SA,SA,Least Developed,OOS Primary,Male,15.4,16.2,14.6,14.3,15.1,13.5,26.2,29.5,23,MICS6,2019
Bangladesh,BGD,SA,SA,Least Developed,OOS Primary,Female,11.3,12,10.6,10.6,11.3,9.9,19.2,22.4,16,MICS6,2019
Bangladesh,BGD,SA,SA,Least Developed,OOS Primary,Urban,10,11.1,8.9,9.6,10.7,8.4,15.4,20.3,10.6,MICS6,2019
Bangladesh,BGD,SA,SA,Least Developed,OOS Primary,Rural,14.3,15,13.7,13.3,13.9,12.7,24.7,27.3,22.1,MICS6,2019
Belarus,BLR,ECA,EECA,More Developed,OOS Primary,Total,1.5,2.3,0.8,1.3,2,0.6,6.4,13.2,-0.5,MICS6,2019
Belarus,BLR,ECA,EECA,More Developed,OOS Primary,Male,1.2,2.1,0.3,1,1.8,0.1,,,,MICS6,2019
Belarus,BLR,ECA,EECA,More Developed,OOS Primary,Female,1.9,3.2,0.7,1.6,2.8,0.5,,,,MICS6,2019
Belarus,BLR,ECA,EECA,More Developed,OOS Primary,Urban,1.6,2.5,0.7,1.4,2.3,0.6,,,,MICS6,2019
Belarus,BLR,ECA,EECA,More Developed,OOS Primary,Rural,1.2,2.5,-0.1,0.8,1.9,-0.2,,,,MICS6,2019
Central African Republic,CAF,SSA,WCA,Least Developed,OOS Primary,Total,32.3,33.9,30.7,30.9,32.9,29,35.2,38.1,32.2,MICS6,2018-2019
Central African Republic,CAF,SSA,WCA,Least Developed,OOS Primary,Male,29,31.2,26.8,26.5,29.1,24,33.9,38,29.8,MICS6,2018-2019
Central African Republic,CAF,SSA,WCA,Least Developed,OOS Primary,Female,35.9,38.3,33.6,35.6,38.5,32.7,36.6,40.8,32.4,MICS6,2018-2019
Central African Republic,CAF,SSA,WCA,Least Developed,OOS Primary,Urban,16.4,18.5,14.4,15.6,18,13.2,18.4,22.3,14.4,MICS6,2018-2019
Central African Republic,CAF,SSA,WCA,Least Developed,OOS Primary,Rural,40.8,43,38.7,39.6,42.3,36.9,43.2,47.1,39.4,MICS6,2018-2019
Chad,TCD,SSA,WCA,Least Developed,OOS Primary,Total,63.6,64.7,62.5,62.1,63.4,60.8,67.4,69.3,65.5,MICS6,2019
Chad,TCD,SSA,WCA,Least Developed,OOS Primary,Male,60.3,61.8,58.7,58.9,60.8,57,63.6,66.3,60.9,MICS6,2019
Chad,TCD,SSA,WCA,Least Developed,OOS Primary,Female,67,68.4,65.5,65.3,67.1,63.5,71.1,73.7,68.5,MICS6,2019
Chad,TCD,SSA,WCA,Least Developed,OOS Primary,Urban,40.6,43.1,38,38.2,41.2,35.2,46.7,51.4,42,MICS6,2019
Chad,TCD,SSA,WCA,Least Developed,OOS Primary,Rural,68.5,69.6,67.3,67.2,68.6,65.8,71.5,73.6,69.5,MICS6,2019
Democratic Republic of the Congo,COD,SSA,WCA,Least Developed,OOS Primary,Total,32.5,33.6,31.4,31.3,32.6,30.1,37.2,39.5,34.8,MICS6,2017-2018
Democratic Republic of the Congo,COD,SSA,WCA,Least Developed,OOS Primary,Male,31.3,32.8,29.7,30.2,32,28.5,35.4,38.7,32.1,MICS6,2017-2018
Democratic Republic of the Congo,COD,SSA,WCA,Least Developed,OOS Primary,Female,33.7,35.3,32.2,32.4,34.2,30.6,39,42.4,35.6,MICS6,2017-2018
Democratic Republic of the Congo,COD,SSA,WCA,Least Developed,OOS Primary,Urban,22.5,24.3,20.6,22.4,24.4,20.3,22.7,26.6,18.8,MICS6,2017-2018
Democratic Republic of the Congo,COD,SSA,WCA,Least Developed,OOS Primary,Rural,40.1,41.4,38.7,38.3,39.9,36.8,46.5,49.4,43.7,MICS6,2017-2018
Gambia,GMB,SSA,WCA,Least Developed,OOS Primary,Total,21.3,22.8,19.7,21,22.6,19.4,23.5,28.7,18.3,MICS6,2018
Gambia,GMB,SSA,WCA,Least Developed,OOS Primary,Male,22.4,24.8,20.1,21.4,23.9,19,29.3,37.5,21.2,MICS6,2018
Gambia,GMB,SSA,WCA,Least Developed,OOS Primary,Female,20.2,22.2,18.2,20.6,22.8,18.5,16,22.3,9.7,MICS6,2018
Gambia,GMB,SSA,WCA,Least Developed,OOS Primary,Urban,15.2,17.2,13.1,14.3,16.4,12.2,21.5,28.7,14.3,MICS6,2018
Gambia,GMB,SSA,WCA,Least Developed,OOS Primary,Rural,31.7,34.1,29.4,32.1,34.6,29.6,28.1,35.9,20.3,MICS6,2018
Ghana,GHA,SSA,WCA,Less Developed,OOS Primary,Total,7.7,8.5,6.9,7.5,8.4,6.6,8.5,10.3,6.7,MICS6,2017-2018
Ghana,GHA,SSA,WCA,Less Developed,OOS Primary,Male,8.1,9.2,6.9,7.9,9.2,6.6,8.7,11.2,6.2,MICS6,2017-2018
Ghana,GHA,SSA,WCA,Less Developed,OOS Primary,Female,7.3,8.4,6.2,7.1,8.3,5.9,8.3,10.9,5.7,MICS6,2017-2018
Ghana,GHA,SSA,WCA,Less Developed,OOS Primary,Urban,3.5,4.4,2.7,3.1,3.9,2.2,5.5,7.9,3,MICS6,2017-2018
Ghana,GHA,SSA,WCA,Less Developed,OOS Primary,Rural,10.8,12,9.6,10.9,12.3,9.5,10.5,13,8,MICS6,2017-2018
Guinea-Bissau,GNB,SSA,WCA,Least Developed,OOS Primary,Total,35,36.7,33.3,35.3,37.2,33.4,33.5,38,29.1,MICS6,2018-2019
Guinea-Bissau,GNB,SSA,WCA,Least Developed,OOS Primary,Male,37.9,40.4,35.3,39.3,42,36.5,31.6,38,25.1,MICS6,2018-2019
Guinea-Bissau,GNB,SSA,WCA,Least Developed,OOS Primary,Female,32.3,34.6,30,31.7,34.2,29.2,35.6,41.9,29.4,MICS6,2018-2019
Guinea-Bissau,GNB,SSA,WCA,Least Developed,OOS Primary,Urban,13.9,16.2,11.7,14.6,17.2,12.1,11,16.3,5.7,MICS6,2018-2019
Guinea-Bissau,GNB,SSA,WCA,Least Developed,OOS Primary,Rural,46,48.1,43.8,45.7,48,43.4,47.1,52.9,41.4,MICS6,2018-2019
Guyana,GUY,LAC,LAC,Less Developed,OOS Primary,Total,2.5,3.2,1.7,2.1,2.8,1.3,4.4,6.8,1.9,MICS6,2019-2020
Guyana,GUY,LAC,LAC,Less Developed,OOS Primary,Male,2.5,3.7,1.4,1.9,3,0.8,5.3,9.1,1.4,MICS6,2019-2020
Guyana,GUY,LAC,LAC,Less Developed,OOS Primary,Female,2.4,3.4,1.3,2.2,3.3,1.1,3.4,6.6,0.3,MICS6,2019-2020
Guyana,GUY,LAC,LAC,Less Developed,OOS Primary,Urban,1.2,2.2,0.2,1.4,2.7,0.2,0.4,1.8,-1,MICS6,2019-2020
Guyana,GUY,LAC,LAC,Less Developed,OOS Primary,Rural,2.9,3.8,1.9,2.2,3.2,1.3,6.3,9.9,2.7,MICS6,2019-2020
Iraq,IRQ,MENA,MENA,Less Developed,OOS Primary,Total,21.6,22.5,20.7,20.5,21.5,19.4,25.9,28,23.7,MICS6,2018
Iraq,IRQ,MENA,MENA,Less Developed,OOS Primary,Male,19.6,20.9,18.4,16.8,18.2,15.4,28.3,31.2,25.4,MICS6,2018
Iraq,IRQ,MENA,MENA,Less Developed,OOS Primary,Female,23.6,25,22.2,23.9,25.5,22.4,22.3,25.4,19.1,MICS6,2018
Iraq,IRQ,MENA,MENA,Less Developed,OOS Primary,Urban,18.9,20,17.8,17.9,19.1,16.7,22.4,24.9,19.9,MICS6,2018
Iraq,IRQ,MENA,MENA,Less Developed,OOS Primary,Rural,27.1,28.8,25.3,25.4,27.4,23.4,34.1,38.2,30,MICS6,2018
Kiribati,KIR,EAP,EAP,Least Developed,OOS Primary,Total,1.2,1.9,0.6,0.8,1.4,0.2,2.6,4.5,0.7,MICS6,2018-2019
Kiribati,KIR,EAP,EAP,Least Developed,OOS Primary,Male,1.6,2.7,0.6,1.2,2.2,0.2,3.1,6,0.2,MICS6,2018-2019
Kiribati,KIR,EAP,EAP,Least Developed,OOS Primary,Female,0.8,1.6,0.1,0.5,1.1,-0.2,2.1,4.6,-0.3,MICS6,2018-2019
Kiribati,KIR,EAP,EAP,Least Developed,OOS Primary,Urban,1.2,2.3,0.2,1.1,2.2,-0.1,1.7,4.4,-0.9,MICS6,2018-2019
Kiribati,KIR,EAP,EAP,Least Developed,OOS Primary,Rural,1.3,2.1,0.5,0.6,1.2,-0.1,3.7,6.5,0.9,MICS6,2018-2019
Kosovo,,ECA,EECA,,OOS Primary,Total,3.9,5.2,2.5,3.8,5.2,2.4,4.5,9.6,-0.6,MICS6,2019-20
Kosovo,,ECA,EECA,,OOS Primary,Male,6,8.3,3.7,6,8.3,3.6,,,,MICS6,2019-20
Kosovo,,ECA,EECA,,OOS Primary,Female,1.7,2.9,0.4,1.5,2.8,0.3,,,,MICS6,2019-20
Kosovo,,ECA,EECA,,OOS Primary,Urban,5.6,7.9,3.3,5.7,8.1,3.3,,,,MICS6,2019-20
Kosovo,,ECA,EECA,,OOS Primary,Rural,2.5,4,1,2.4,3.9,0.9,,,,MICS6,2019-20
Kyrgyzstan,KGZ,ECA,EECA,Less Developed,OOS Primary,Total,3.3,4.2,2.3,3.5,4.5,2.5,1.2,3.2,-0.8,MICS6,2018
Kyrgyzstan,KGZ,ECA,EECA,Less Developed,OOS Primary,Male,2.8,4,1.6,3,4.4,1.7,1.2,3.8,-1.5,MICS6,2018
Kyrgyzstan,KGZ,ECA,EECA,Less Developed,OOS Primary,Female,3.8,5.2,2.3,4,5.5,2.4,,,,MICS6,2018
Kyrgyzstan,KGZ,ECA,EECA,Less Developed,OOS Primary,Urban,2.3,3.5,1,2.1,3.4,0.9,,,,MICS6,2018
