<<<<<<< HEAD
﻿Countries and areas,ISO Code,Region,Sub-region,Development regions,Indicator_6,Category_6,Total_6,total_upper_limit_6,total_lower_limit_6,Children without functional difficulties_6,cwf_upper_limit_6,cwf_lower_limit_6,Children with functional difficulties_6,wfd_upper_limit_6,wfd_lower_limit_6,Data source,Time period
Bangladesh,BGD,SA,SA,Least Developed,OOS Upper secondary,Total,24.3,25.1,23.6,23.6,24.4,22.8,34.6,38.2,31,MICS6,2019
Bangladesh,BGD,SA,SA,Least Developed,OOS Upper secondary,Male,29.2,30.4,28.1,28.6,29.7,27.4,37.9,42.5,33.2,MICS6,2019
Bangladesh,BGD,SA,SA,Least Developed,OOS Upper secondary,Female,18.9,19.9,17.8,18.2,19.3,17.2,29.9,35.4,24.4,MICS6,2019
Bangladesh,BGD,SA,SA,Least Developed,OOS Upper secondary,Urban,24.1,25.9,22.3,23.5,25.3,21.6,35,43.6,26.3,MICS6,2019
Bangladesh,BGD,SA,SA,Least Developed,OOS Upper secondary,Rural,24.4,25.3,23.5,23.7,24.6,22.8,34.5,38.4,30.6,MICS6,2019
Belarus,BLR,ECA,EECA,More Developed,OOS Upper secondary,Total,0,0,0,0,0,0,,,,MICS6,2019
Belarus,BLR,ECA,EECA,More Developed,OOS Upper secondary,Male,0,0,0,0,0,0,,,,MICS6,2019
Belarus,BLR,ECA,EECA,More Developed,OOS Upper secondary,Female,0,0,0,0,0,0,,,,MICS6,2019
Belarus,BLR,ECA,EECA,More Developed,OOS Upper secondary,Urban,0,0,0,0,0,0,,,,MICS6,2019
Belarus,BLR,ECA,EECA,More Developed,OOS Upper secondary,Rural,0,0,0,0,0,0,,,,MICS6,2019
Central African Republic,CAF,SSA,WCA,Least Developed,OOS Upper secondary,Total,33,37.8,28.2,29.6,35,24.2,43.8,53.8,33.9,MICS6,2018-2019
Central African Republic,CAF,SSA,WCA,Least Developed,OOS Upper secondary,Male,29.5,36.2,22.9,29.1,36.7,21.4,,,,MICS6,2018-2019
Central African Republic,CAF,SSA,WCA,Least Developed,OOS Upper secondary,Female,37.1,44,30.2,30.2,37.9,22.5,56.3,69.9,42.6,MICS6,2018-2019
Central African Republic,CAF,SSA,WCA,Least Developed,OOS Upper secondary,Urban,21.2,27,15.5,17.9,24.1,11.8,,,,MICS6,2018-2019
Central African Republic,CAF,SSA,WCA,Least Developed,OOS Upper secondary,Rural,44.6,52,37.3,42,50.7,33.2,51.9,65.6,38.2,MICS6,2018-2019
Chad,TCD,SSA,WCA,Least Developed,OOS Upper secondary,Total,53.4,56.5,50.2,50.5,54.3,46.8,61.3,66.9,55.6,MICS6,2019
Chad,TCD,SSA,WCA,Least Developed,OOS Upper secondary,Male,43.6,48.2,39,41.7,47.2,36.3,49.4,57.9,40.8,MICS6,2019
Chad,TCD,SSA,WCA,Least Developed,OOS Upper secondary,Female,64.8,68.8,60.7,61.4,66.3,56.5,73.4,80.3,66.4,MICS6,2019
Chad,TCD,SSA,WCA,Least Developed,OOS Upper secondary,Urban,22.6,28,17.1,19.5,25.7,13.4,32.1,43.5,20.6,MICS6,2019
Chad,TCD,SSA,WCA,Least Developed,OOS Upper secondary,Rural,62.3,65.7,58.8,59.8,64,55.7,68.9,75,62.8,MICS6,2019
Democratic Republic of the Congo,COD,SSA,WCA,Least Developed,OOS Upper secondary,Total,17.8,19.3,16.4,17.5,19.1,15.9,19.7,23.3,16,MICS6,2017-2018
Democratic Republic of the Congo,COD,SSA,WCA,Least Developed,OOS Upper secondary,Male,15,17,13.1,13.8,15.9,11.7,21.9,27.2,16.6,MICS6,2017-2018
Democratic Republic of the Congo,COD,SSA,WCA,Least Developed,OOS Upper secondary,Female,20.2,22.3,18,20.6,23,18.2,17.8,22.8,12.8,MICS6,2017-2018
Democratic Republic of the Congo,COD,SSA,WCA,Least Developed,OOS Upper secondary,Urban,12.2,14.3,10.1,12,14.3,9.7,13.1,18.8,7.5,MICS6,2017-2018
Democratic Republic of the Congo,COD,SSA,WCA,Least Developed,OOS Upper secondary,Rural,22.9,24.9,20.9,22.5,24.8,20.3,24.8,29.5,20.1,MICS6,2017-2018
Gambia,GMB,SSA,WCA,Least Developed,OOS Upper secondary,Total,31.3,35.8,26.8,30.4,35,25.8,,,,MICS6,2018
Gambia,GMB,SSA,WCA,Least Developed,OOS Upper secondary,Male,27.2,33.9,20.6,26.3,33.1,19.6,,,,MICS6,2018
Gambia,GMB,SSA,WCA,Least Developed,OOS Upper secondary,Female,34.4,40.6,28.3,33.4,39.6,27.2,,,,MICS6,2018
Gambia,GMB,SSA,WCA,Least Developed,OOS Upper secondary,Urban,25.4,30.9,20,25.2,30.8,19.6,,,,MICS6,2018
Gambia,GMB,SSA,WCA,Least Developed,OOS Upper secondary,Rural,45.5,53.1,37.8,42.9,50.8,35,,,,MICS6,2018
Ghana,GHA,SSA,WCA,Less Developed,OOS Upper secondary,Total,14.1,15.9,12.4,13.7,15.6,11.8,15.7,19.9,11.6,MICS6,2017-2018
Ghana,GHA,SSA,WCA,Less Developed,OOS Upper secondary,Male,11.7,14,9.5,11.1,13.5,8.7,14.7,20.4,9,MICS6,2017-2018
Ghana,GHA,SSA,WCA,Less Developed,OOS Upper secondary,Female,16.7,19.4,14,16.8,19.8,13.7,16.6,22.7,10.4,MICS6,2017-2018
